name	length	type	location(gene before, gene after)	SGDfeatures	significance
chr15_759189_759729	540	Intergenic	YOR222W_-64,YOR223W_52		
chr15_409763_409863	100	Intergenic	YOR042W_104,YOR043W_1005		
chr15_589901_589918	17	Intergenic	YOR140W_620,YOR141C_23		
chr9_248846_248928	82	Intergenic	YIL057C_453,YIL056W_1060		
chr5_479878_479908	30	Coding	YER155C		
chr15_530433_530456	23	Intergenic	YOR110W_185,YOR111W_-28		
chr15_483761_483790	29	Coding	YOR086C		
chr10_368936_368947	11	Coding	YJL039C		
chr10_642844_642868	24	Coding	YJR117W		
chr5_386186_386203	17	Intergenic	YER111C_314,YER112W_1024		
chr15_226608_226679	71	Intergenic	YOL055C_535,YOL054W_1932		
chr5_288440_288522	82	Intergenic	YER065C_1528,YER066W_1717		
chr15_484327_484345	18	Coding	YOR086C		
chr6_38813_38835	22	Intergenic	YFL049W_139,YFL048C_7		
chr16_615240_615260	20	Intergenic	YPR025C_687,YPR026W_113		
chr4_875218_875233	15	Intergenic	YDR210W_3925,YDR211W_9485	YDRWTY2-2,YDR210W-B,	
chr3_82460_82532	72	Intergenic	YCL024W_186,YCL021W-A_1086		
chr16_320162_320201	39	Coding	YPL122C		
chr15_340298_340371	73	Intergenic	YOR007C_320,YOR008C_906		
chr4_516280_516305	25	Intergenic	YDR034C_4177,YDR034C-A_4204	YDRCTY2-1,YDR034C-D,	
chr11_517624_517697	73	Intergenic	YKR039W_1116,YKR041W_137		
chr2_405833_405905	72	Intergenic	YBR081C_626,YBR082C_678		
chr5_491421_491454	33	Intergenic	YER158C_848,YER159C_70		
chr11_84208_84292	84	Intergenic	YKL190W_657,YKL189W_412		
chr10_139458_139648	190	Intergenic	YJL149W_390,YJL148W_486		
chr7_440718_440810	92	Intergenic	YGL029W_290,YGL028C_473		
chr8_308765_308800	35	Coding	YHR099W		
chr4_867079_867114	35	Coding	YDR207C		
chr7_921812_921849	37	Intergenic	YGR214W_22,YGR215W_327		
chr2_613560_613580	20	Coding	YBR196C		
chr13_131824_131896	72	Intergenic	YML071C_252,YML070W_1578		
chr7_958119_958131	12	Coding	YGR233C		
chr16_665865_665881	16	Coding	YPR052C	YPR053C,	
chr14_602307_602381	74	Intergenic	YNL018C_537,YNL016W_521	YNL017C,	
chr5_492570_492581	11	Intergenic	YER159C_617,YER161C_6760		
chr16_407264_407282	18	Coding	YPL079W		
chr13_517775_517792	17	Intron	YMR125W		
chr4_1152600_1152615	15	Coding	YDR341C		
chr13_158548_158597	49	Intergenic	YML059C_290,YML058W-A_162		
chr1_73639_73669	30	Intergenic	YAL037C-A_119,YAL037W_352		
chr4_941031_941046	15	Intergenic	YDR238C_224,YDR239C_1		
chr4_520965_521037	72	Intergenic	YDR034C-A_279,YDR034W-B_270		
chr6_207051_207066	15	Intergenic	YFR026C_806,YFR027W_373	YFRWDELTA10,	
chr7_573877_573915	38	Intergenic	YGR038W_12526,YGR040W_1483	YGRCTY2-1,	
chr4_1302145_1302160	15	Intergenic	YDR418W_44,YDR419W_1001		
chr5_240968_240986	18	Coding	YER045C		
chr9_97110_97246	136	Intergenic	YIL134C-A_385,YIL134W_148		
chr6_167429_167518	89	Intergenic	YFR011C_178,YFR012W_362		
chr12_592518_592619	101	Intergenic	YLR227C_475,YLR228C_7399		
chr6_137480_137554	74	Intergenic	YFL003C_328,YFL002C_7554		
chr16_370792_370809	17	Intergenic	YPL094C_107,YPL093W_163		
chr12_980687_980700	13	Intergenic	YLR424W_5171,YLR425W_2188	YLRCTY2-2,	
chr7_364714_364728	14	Coding	YGL076C		
chr12_366235_366347	112	Intergenic	YLR107W_904,YLR108C_320		
chr12_451779_458433	6654	Intergenic	YLR154W-F_-4245,YLR154C-G_4089	RDN25-1,RDN58-1,RDN18-1,	
chr8_134311_134383	72	Intergenic	YHR014W_1398,YHR015W_161		
chr14_637303_637314	11	Coding	YNR006W	YNR005C,	
chr2_197590_197661	71	Intergenic	YBL015W_1926,YBL014C_1364		
chr12_794485_794575	90	Intergenic	YLR332W_2679,YLR333C_997		
chr12_85499_85532	33	Coding	YLL028W		
chr11_616824_616844	20	Coding	YKR093W		
chr8_164166_164183	17	Coding	YHR027C		
chr12_944952_944963	11	Intergenic	YLR410W_3975,YLR411W_2285	YLRWTY2-1,YLR410W-B,	
chr4_1159897_1159920	23	Coding	YDR343C		
chr7_482700_482895	195	Intergenic	YGL008C_31,YGL007C-A_48		
chr13_168794_168883	89	Intergenic	YML054C-A_1013,YML053C_232		
chr2_44146_44162	16	Intergenic	YBL095W_63,YBL093C_87		
chr4_413125_413148	23	Intergenic	YDL022W_129,YDL021W_800		
chr15_336349_336374	25	Coding	YOR005C		
chr7_739123_739197	74	Intergenic	YGR123C_918,YGR124W_748		
chr11_43606_43626	20	Coding	YKL209C		
chr14_676883_676900	17	Coding	YNR028W		
chr4_437767_437849	82	Intergenic	YDL008W_3777,YDL007W_193		
chr16_483607_483634	27	Coding	YPL036W		
chr5_101887_101909	22	Intergenic	YEL027W_636,YEL026W_33		
chr6_210606_210695	89	Intergenic	YFR028C_550,YFR029W_229		
chr7_304873_304888	15	Coding	YGL107C		
chr7_731138_731212	74	Intergenic	YGR120C_315,YGR121C_238		
chr7_710943_710970	27	Intergenic	YGR109C_4441,YGR110W_2739	YGRWTY3-1,YGR109W-B,	
chr12_427132_427204	72	Intergenic	YLR142W_515,YLR143W_125		
chr4_568876_568948	72	Intergenic	YDR058C_178,YDR059C_280		
chr9_175139_175156	17	Intergenic	YIL102C_255,YIL101C_147		
chr5_342130_342147	17	Coding	YER091C		
chr15_770456_770482	26	Intergenic	YOR229W_644,YOR230W_317		
chr9_325745_325818	73	Intergenic	YIL014C-A_221,YIL014W_282		
chr13_861455_861466	11	Intergenic	YMR296C_564,YMR297W_455		
chr4_519736_519820	84	Intergenic	YDR034C_7633,YDR034C-A_689		
chr13_124524_124544	20	Intergenic	YML073C_352,YML072C_185		
chr12_459676_459797	121	Intergenic	YLR154W-F_3652,YLR154C-G_2725		
chr5_492475_492498	23	Intergenic	YER159C_522,YER161C_6843		
chr16_338846_338918	72	Intergenic	YPL112C_227,YPL111W_1024		
chr2_133207_133228	21	Intergenic	YBL047C_1205,YBL046W_-843		
chr7_111183_111194	11	Intergenic	YGL205W_777,YGL203C_1282	YGLWTAU1,	
chr6_58004_58026	22	Intergenic	YFL037W_296,YFL036W_754		
chr3_78668_78711	43	Intergenic	YCL025C_750,YCL024W_449		
chr13_512136_512162	26	Intergenic	YMR122W-A_568,YMR123W_1429		
chr12_837985_838000	15	Intergenic	YLR354C_629,YLR355C_64		
chr15_274672_274773	101	Intergenic	YOL026C_319,YOL025W_183		
chr13_352278_352369	91	Intergenic	YMR041C_306,YMR042W_232		
chr13_701890_701910	20	Coding	YMR217W		
chr2_662698_662723	25	Intron	YBR219C		
chr4_780237_780255	18	Intergenic	YDR161W_38,YDR162C_127		
chr15_923136_923159	23	Intergenic	YOR323C_238,YOR324C_65		
chr12_977906_977922	16	Intergenic	YLR424W_2390,YLR425W_4966	YLRCTY2-2,	
chr16_769202_769298	96	Intergenic	YPR118W_219,YPR119W_2350		
chr13_652273_652531	258	Intergenic	YMR194W_364,YMR194C-B_61		
chr10_678616_678628	12	Intergenic	YJR136C_215,YJR137C_23		
chr10_378055_378129	74	Intergenic	YJL037W_1023,YJL036W_391		
chr13_372443_372517	74	Intergenic	YMR049C_1927,YMR052W_7067		
chr10_227790_228176	386	Intergenic	YJL104W_317,YJL103C_545		
chr1_142373_142475	102	Intron	YAL003W		
chr12_468813_468930	117	Intergenic	YLR154C-G_6141,YLR154C-H_-103		
chr10_348825_348929	104	Intergenic	YJL047C-A_-49,YJL047C_346		
chr11_163572_163587	15	Intergenic	YKL154W_1236,YKL152C_55		
chr7_828724_828796	72	Intergenic	YGR163W_145,YGR165W_321	YGR164W,	
chr11_100462_100571	109	Intergenic	YKL183W_820,YKL182W_100		
chr7_149452_149468	16	Intergenic	YGL188C-A_484,YGL187C_239	YGL188C,	
chr7_707218_707239	21	Intergenic	YGR109C_716,YGR110W_6470	YGRWTY3-1,YGRWSIGMA4,	
chr15_309076_309095	19	Intergenic	YOL010W_35,YOL009C_228		
chr3_42406_42419	13	Coding	YCL048W		
chr12_1056837_1056848	11	Intergenic	YLR457C_70,YLR459W_481		
chr16_192832_192845	13	Intergenic	YPL188W_183,YPL187W_801		
chr4_982434_982463	29	Intergenic	YDR261C_3234,YDR262W_10661	YDRWTY2-3,YDR261W-B,YDR261W-A,	
chr3_151277_151350	73	Intergenic	YCR018C_2380,YCR019W_1480		
chr9_102482_102495	13	Intergenic	YIL131C_247,YIL130W_286		
chr5_546495_546525	30	Intergenic	YER177W_86,YER178W_286		
chr4_520207_520218	11	Intergenic	YDR034C_8104,YDR034C-A_291	YDRCDELTA6A,	
chr5_363701_363722	21	Intergenic	YER102W_3,YER103W_862		
chr8_85292_85366	74	Intergenic	YHL009C_237,YHL008C_7255		
chr7_385786_385814	28	Coding	YGL062W		
chr14_374865_374956	91	Intergenic	YNL133C_176,YNL132W_361		
chr6_191500_191601	101	Intergenic	YFR019W_174,YFR021W_3198		
chr12_668126_668137	11	Intergenic	YLR260W_219,YLR262C_106		
chr11_38811_38912	101	Intergenic	YKL211C_657,YKL210W_251		
chr8_214376_215151	775	Intergenic	YHR055C_-342,YHR056C_31	YHR054W-A,	
chr4_1457402_1457423	21	Coding	YDR505C		
chr15_1031390_1031415	25	Intergenic	YOR370C_402,YOR371C_67		
chr12_545985_546026	41	Intergenic	YLR196W_285,YLR197W_72		
chr10_541201_541273	72	Intergenic	YJR055W_2241,YJR056C_212		
chr16_719143_719238	95	Intergenic	YPR091C_679,YPR093C_315		
chr16_718695_718802	107	Intergenic	YPR091C_231,YPR093C_751		
chr12_944352_944369	17	Intergenic	YLR410W_3375,YLR411W_2879	YLRWTY2-1,YLR410W-B,	
chr7_281493_281508	15	Intergenic	YGL121C_332,YGL120C_129		
chr11_282825_282920	95	Intron	YKL081W		
chr12_430671_430688	17	Coding	YLR144C		
chr13_796479_796508	29	Intergenic	YMR264W_64,YMR265C_30		
chr7_1004219_1004291	72	Intergenic	YGR255C_254,YGR256W_336		
chr9_113764_113777	13	Intergenic	YIL129C_527,YIL128W_28		
chr16_287020_287031	11	Intergenic	YPL141C_960,YPL140C_481		
chr9_151351_151366	15	Intergenic	YIL113W_166,YIL112W_225		
chr9_197588_197660	72	Intergenic	YIL089W_1375,YIL088C_267		
chr4_1367966_1367985	19	Coding	YDR456W		
chr10_113710_113726	16	Intergenic	YJL163C_383,YJL162C_448	ARS1007,	
chr7_368111_368123	12	Intergenic	YGL075C_22,YGL073W_630		
chr11_110130_110184	54	Intergenic	YKL180W_0,YKL179C_280		
chr7_939493_939673	180	Intergenic	YGR221C_501,YGR222W_249	SNR7-L,	
chr4_1135555_1135600	45	Intergenic	YDR333C_134,YDR334W_321		
chr5_424693_424879	186	Intergenic	YER131W_386,YER132C_304		
chr6_60385_60411	26	Coding	YFL036W		
chr4_46814_46845	31	Coding	YDL227C		
chr16_718882_719047	165	Intergenic	YPR091C_418,YPR093C_506		
chr11_323657_323671	14	Coding	YKL062W		
chr3_90857_90971	114	Intergenic	YCL021W-A_6861,YCL018W_351		
chr13_449932_449949	17	Intergenic	YMR090W_5,YMR091C_107		
chr7_573693_573706	13	Intergenic	YGR038W_12342,YGR040W_1692	YGRCTY2-1,	
chr3_52439_52475	36	Intergenic	YCL040W_99,YCL039W_169		
chr15_76148_76182	34	Coding	YOL130W		
chr4_83548_83619	71	Intergenic	YDL211C_3135,YDL210W_651		
chr3_107499_107708	209	Intergenic	YCL007C_137,YCL005W_308		
chr1_83230_83242	12	Intergenic	YAL033W_1,YAL032C_94		
chr4_568958_569030	72	Intergenic	YDR058C_260,YDR059C_198		
chr12_815793_815808	15	Intergenic	YLR342W_166,YLR342W-A_1		
chr12_611542_611565	23	Coding	YLR234W	YLR235C,	
chr7_229989_230007	18	Intergenic	YGL146C_300,YGL145W_238		
chr13_57652_57669	17	Intergenic	YML106W_199,YML105C_196		
chr11_125242_125272	30	Coding	YKL173W		
chr16_281002_281020	18	Intergenic	YPL144W_77,YPL143W_1100		
chr11_48976_48987	11	Intergenic	YKL207W_86,YKL206C_18		
chr4_1305617_1305700	83	Intergenic	YDR419W_557,YDR420W_554		
chr2_112727_112738	11	Intergenic	YBL058W_58,YBL057C_23		
chr12_656933_657006	73	Intergenic	YLR256W_6010,YLR257W_1819		
chr2_350785_350857	72	Intergenic	YBR056W_1442,YBR056W-A_356		
chr4_516186_516330	144	Intergenic	YDR034C_4083,YDR034C-A_4179	YDRCTY2-1,YDR034C-D,	
chr7_815213_815224	11	Intergenic	YGR161C_5791,YGR162W_8836	YGRWTY2-2,YGR161W-B;Note=TyB Gag-Pol protein; proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition,YGR161W-B,	
chr16_633908_633921	13	Intergenic	YPR031W_152,YPR032W_196		
chr4_810468_810490	22	Intergenic	YDR172W_94,YDR173C_67		
chr9_227839_227859	20	Coding	YIL072W		
chr9_131761_131781	20	Intergenic	YIL122W_99,YIL121W_459		
chr15_976413_976486	73	Intergenic	YOR342C_8795,YOR344C_700		
chr10_683981_684001	20	Intergenic	YJR137C_1001,YJR138W_260		
chr16_701034_701050	16	Coding	YPR080W		
chr16_856569_857620	1051	Intergenic	YPR158W_12555,YPR159W_-44	YPRWSIGMA3,YPRWSIGMA3,TA(AGC)P,	
chr12_898986_899536	550	Intergenic	YLR388W_165,YLR389C_156		
chr14_175131_175159	28	Intergenic	YNL251C_817,YNL250W_249		
chr16_281054_281516	462	Intergenic	YPL144W_129,YPL143W_604		
chr7_287353_287459	106	Intergenic	YGL119W_1402,YGL117W_1056		
chr4_541640_541739	99	Intergenic	YDR042C_443,YDR043C_929		
chr13_434448_434461	13	Intergenic	YMR081C_3354,YMR083W_325		
chr7_327147_327158	11	Intergenic	YGL096W_985,YGL095C_1716		
chr14_102713_102787	74	Intergenic	YNL286W_6635,YNL284C_344		
chr5_492290_492318	28	Intergenic	YER159C_337,YER161C_7023		
chr12_1002580_1002596	16	Coding	YLR432W		
chr11_571118_571130	12	Intergenic	YKR068C_573,YKR069W_117		
chr7_857379_857493	114	Intergenic	YGR180C_1076,YGR181W_795		
chr7_478974_478996	22	Intergenic	YGL009C_319,YGL008C_916		
chr4_518817_518855	38	Intergenic	YDR034C_6714,YDR034C-A_1654	YDRCTY2-1,YDR034C-D,YDR034C-C,	
chr4_1308327_1308338	11	Coding	YDR420W		
chr2_40736_40780	44	Intergenic	YBL098W_217,YBL097W_122		
chr12_404985_405021	36	Coding	YLR131C		
chr13_405743_405760	17	Intergenic	YMR067C_171,YMR068W_542		
chr14_673564_673607	43	Coding	YNR026C		
chr11_621759_621774	15	Coding	YKR095W		
chr7_706601_706617	16	Intergenic	YGR109C_99,YGR110W_7092		
chr11_219618_219640	22	Intergenic	YKL119C_759,YKL117W_325		
chr13_163534_163620	86	Intron	YML056C		
chr4_1201737_1201810	73	Intergenic	YDR363W_1196,YDR363W-A_305		
chr13_837927_838016	89	Intergenic	YMR283C_1060,YMR284W_170		
chr12_464551_464709	158	Intergenic	YLR154C-G_1879,YLR154C-H_4118	RDN37-2,	
chr4_218258_218280	22	Coding	YDL136W		
chr4_447499_447516	17	Coding	YDL002C		
chr16_197939_197961	22	Intergenic	YPL184C_152,YPL183W-A_1132		
chr13_626238_626669	431	Intergenic	YMR182W-A_342,YMR183C_250		
chr12_214883_214956	73	Intergenic	YLR035C_426,YLR036C_6565		
chr7_167665_167749	84	Intron	YGL178W	YGL177W,	
chr5_225770_225806	36	Intergenic	YER036C_572,YER037W_81		
chr3_123415_123433	18	Intergenic	YCR005C_1093,YCR007C_2571		
chr10_153876_153891	15	Coding	YJL138C		
chr16_623385_623406	21	Intergenic	YPR027C_2132,YPR028W_115		
chr12_460923_464319	3396	Intergenic	YLR154C-G_-1749,YLR154C-H_4508	RDN37-2,	
chr1_70575_70587	12	Intergenic	YAL039C_1048,YAL038W_1200		
chr9_324300_324372	72	Intergenic	YIL015W_197,YIL014C-A_837		
chr15_407946_408133	187	Intergenic	YOR040W_26,YOR042W_290		
chr14_534579_534590	11	Intergenic	YNL051W_713,YNL050C_-516		
chr4_262803_262828	25	Coding	YDL112W		
chr5_61351_61433	82	Intergenic	YEL050C_500,YEL049W_2294		
chr12_402867_403139	272	Coding	YLR130C		
chr14_118869_118885	16	Intergenic	YNL277W_62,YNL275W_380		
chr2_428798_428814	16	Coding	YBR092C		
chr12_898986_899018	32	Intergenic	YLR388W_165,YLR389C_674		
chr13_470175_470211	36	Intergenic	YMR101C_700,YMR102C_-365		
chr11_373286_373301	15	Coding	YKL034W		
chr7_736341_736413	72	Intergenic	YGR122W_1196,YGR123C_250		
chr13_259157_259239	82	Intergenic	YML006C_741,YML005W_981		
chr15_154472_154497	25	Coding	YOL088C		
chr4_843499_843517	18	Intergenic	YDR191W_58,YDR192C_43		
chr4_946302_946391	89	Intergenic	YDR240C_1159,YDR242W_406		
chr4_306811_306859	48	Intergenic	YDL084W_235,YDL083C_65		
chr16_721005_721022	17	Intergenic	YPR094W_49,YPR095C_10		
chr11_575705_575720	15	Intergenic	YKR071C_89,YKR072C_350		
chr4_984926_984937	11	Intergenic	YDR261C_5726,YDR262W_8187	YDRWTY2-3,YDR261W-B,	
chr12_784353_784453	100	Intergenic	YLR327C_966,YLR328W_459		
chr10_422630_422703	73	Intergenic	YJL008C_1273,YJL006C_128	YJL007C,	
chr7_573399_573428	29	Intergenic	YGR038W_12048,YGR040W_1970	YGRCTY2-1,	
chr11_202640_202713	73	Intergenic	YKL128C_1227,YKL127W_469		
chr11_182670_182699	29	Intergenic	YKL140W_244,YKL139W_259		
chr12_1018656_1018679	23	Coding	YLR441C		
chr4_619961_620034	73	Intergenic	YDR088C_323,YDR089W_2070		
chr13_425206_425226	20	Coding	YMR079W		
chr11_308186_308203	17	Intergenic	YKL069W_718,YKL068W-A_643		
chr5_514747_514766	19	Coding	YER166W		
chr13_146930_146945	15	Coding	YML063W		
chr4_936086_936125	39	Intergenic	YDR236C_203,YDR237W_480		
chr13_895366_895382	16	Coding	YMR309C		
chr7_328583_328655	72	Intergenic	YGL096W_2421,YGL095C_219		
chr16_819522_819596	74	Intergenic	YPR143W_453,YPR144C_162		
chr5_322069_322089	20	Intergenic	YER080W_227,YER081W_592		
chr4_1369784_1369803	19	Coding	YDR457W		
chr13_557408_557442	34	Intergenic	YMR145C_934,YMR146C_37		
chr10_353939_354028	89	Intergenic	YJL046W_628,YJL045W_1691		
chr11_229958_230000	42	Intergenic	YKL110C_436,YKL109W_1868		
chr6_207259_207282	23	Intergenic	YFR026C_1014,YFR027W_157		
chr7_412294_412368	74	Intergenic	YGL047W_133,YGL045W_1735		
chr13_297642_297692	50	Intergenic	YMR013C_905,YMR013W-A_617		
chr16_210190_210262	72	Intergenic	YPL179W_385,YPL178W_1894		
chr10_434158_434170	12	Coding	YJL002C		
chr12_994856_994870	14	Coding	YLR430W		
chr11_430831_430851	20	Intergenic	YKL006C-A_561,YKL006W_692		
chr8_514040_514053	13	Coding	YHR206W		
chr15_973618_973630	12	Intergenic	YOR342C_6000,YOR344C_3556	YORWTY2-2,YOR343W-B,	
chr4_323215_323470	255	Intergenic	YDL075W_228,YDL074C_575		
chr16_440422_440437	15	Intergenic	YPL060W_4663,YPL059W_4136	YPLCTY4-1,YPL060C-A,	
chr13_95732_95751	19	Intergenic	YML087C_363,YML086C_39		
chr2_197455_197529	74	Intergenic	YBL015W_1791,YBL014C_1496		
chr7_364142_364201	59	Intergenic	YGL077C_225,YGL076C_134		
chr14_493822_493873	51	Intergenic	YNL070W_277,YNL069C_79		
chr4_1360857_1360882	25	Intergenic	YDR450W_71,YDR451C_225		
chr13_183897_183968	71	Intergenic	YML046W_534,YML043C_6275		
chr2_86493_86513	20	Intergenic	YBL075C_50,YBL074C_203		
chr15_408173_408195	22	Intergenic	YOR040W_253,YOR042W_228		
chr8_116099_116172	73	Intergenic	YHR005C-A_205,YHR006W_1634		
chr4_980964_981046	82	Intergenic	YDR261C_1764,YDR262W_12078		
chr7_263965_263985	20	Coding	YGL131C		
chr15_559655_559683	28	Coding	YOR125C		
chr7_423095_423209	114	Intergenic	YGL040C_2536,YGL039W_755		
chr10_415624_415730	106	Intergenic	YJL011C_1160,YJL010C_1525		
chr12_853126_853141	15	Coding	YLR363C		
chr4_1266191_1266213	22	Intergenic	YDR395W_45,YDR397C_140		
chr4_1203095_1203112	17	Coding	YDR364C		
chr2_405915_405987	72	Intergenic	YBR081C_708,YBR082C_596		
chr2_433871_433904	33	Intergenic	YBR093C_2964,YBR094W_-1913		
chr15_73175_73186	11	Intergenic	YOL132W_461,YOL131W_-157		
chr14_267468_267487	19	Intergenic	YNL199C_941,YNL197C_117		
chr15_60314_60337	23	Intergenic	YOL140W_285,YOL139C_44		
chr5_225674_225688	14	Intergenic	YER036C_476,YER037W_199		
chr5_396432_396448	16	Intergenic	YER116C_264,YER117W_316		
chr8_139874_139889	15	Intergenic	YHR017W_32,YHR018C_112		
chr1_184035_184059	24	Coding	YAR027W		
chr12_975977_976051	74	Intergenic	YLR424W_461,YLR425W_6837		
chr15_973685_973700	15	Intergenic	YOR342C_6067,YOR344C_3486	YORWTY2-2,YOR343W-B,	
chr7_790389_790403	14	Intergenic	YGR149W_58,YGR150C_57		
chr5_250284_250356	72	Intergenic	YER048C_2128,YER048W-A_360		
chr13_572881_572954	73	Intergenic	YMR158W_167,YMR158C-A_238		
chr4_1382273_1382291	18	Intergenic	YDR458C_239,YDR459C_15		
chr12_794936_795024	88	Intergenic	YLR332W_3130,YLR333C_548		
chr11_581693_581704	11	Intergenic	YKR075C_1307,YKR076W_214		
chr15_58925_58942	17	Coding	YOL140W		
chr6_53008_53025	17	Intergenic	YFL040W_36,YFL039C_234		
chr1_187331_187342	11	Coding	YAR031W		
chr7_508864_508890	26	Intergenic	YGR008C_499,YGR009C_157		
chr2_353640_353674	34	Coding	YBR058C		
chr10_683953_684008	55	Intergenic	YJR137C_973,YJR138W_253		
chr9_127120_127133	13	Intergenic	YIL124W_23,YIL123W_1017		
chr16_685551_685568	17	Intergenic	YPR069C_119,YPR070W_324		
chr4_1282793_1282806	13	Coding	YDR406W		
chr15_288191_288280	89	Intergenic	YOL020W_241,YOL019W-A_139		
chr13_499982_500071	89	Intron	YMR116C		
chr14_723252_723281	29	Intergenic	YNR053C_144,YNR054C_70		
chr8_127448_127465	17	Coding	YHR010W		
chr14_726129_726213	84	Intergenic	YNR054C_1827,YNR055C_2208		
chr15_483404_483445	41	Coding	YOR086C		
chr16_435887_435959	72	Intergenic	YPL060W_128,YPL059W_8614		
chr7_919882_919896	14	Intergenic	YGR213C_415,YGR214W_680		
chr15_163215_163238	23	Coding	YOL084W		
chr4_322997_323022	25	Intergenic	YDL075W_10,YDL074C_1023		
chr15_617182_617194	12	Intergenic	YOR151C_511,YOR152C_323		
chr14_696292_696320	28	Coding	YNR038W		
chr11_225933_225965	32	Intergenic	YKL113C_416,YKL112W_246		
chr4_488791_488865	74	Intergenic	YDR022C_134,YDR023W_637		
chr12_793917_793989	72	Intergenic	YLR332W_2111,YLR333C_1583		
chr13_23920_23947	27	Intergenic	YML124C_236,YML123C_90		
chr13_239352_239386	34	Intergenic	YML017W_621,YML016C_71		
chr5_207355_207427	72	Intergenic	YER025W_522,YER026C_215		
chr4_984500_984512	12	Intergenic	YDR261C_5300,YDR262W_8612	YDRWTY2-3,YDR261W-B,	
chr11_156441_156466	25	Coding	YKL157W		
chr3_123570_123642	72	Intergenic	YCR005C_1248,YCR007C_2362		
chr13_778792_778806	14	Intergenic	YMR255W_226,YMR256C_137		
chr16_739917_739948	31	Intergenic	YPR105C_352,YPR106W_108		
chr2_62620_62631	11	Intergenic	YBL086C_24,YBL085W_1238		
chr16_701443_701514	71	Coding	YPR080W		
chr10_517506_517578	72	Intergenic	YJR043C_299,YJR044C_878		
chr15_710200_710272	72	Intergenic	YOR192C-C_5976,YOR193W_173		
chr15_411472_411494	22	Coding	YOR043W		
chr15_81095_81110	15	Coding	YOL127W		
chr4_290998_291035	37	Coding	YDL093W		
chr15_43617_43632	15	Intergenic	YOL152W_981,YOL151W_59		
chr7_254710_254731	21	Coding	YGL135W		
chr16_795603_795628	25	Coding	YPR132W		
chr16_572263_572334	71	Intergenic	YPR007C_890,YPR008W_678		
chr1_143367_143392	25	Intergenic	YAL003W_205,YAL002W_609		
chr13_550770_550797	27	Coding	YMR142C		
chr7_733111_733140	29	Intergenic	YGR121C_182,YGR121W-A_273		
chr11_526226_526248	22	Coding	YKR048C		
chr2_462134_463085	951	Intergenic	YBR111W-A_-258,YBR112C_-261		
chr7_845650_845721	71	Intergenic	YGR173W_688,YGR174C_173		
chr6_191945_191966	21	Intergenic	YFR019W_619,YFR021W_2833		
chr2_768776_768794	18	Intergenic	YBR282W_142,YBR283C_102		
chr6_180965_181036	71	Intergenic	YFR016C_230,YFR017C_1225		
chr11_219536_219609	73	Intergenic	YKL119C_677,YKL117W_356		
chr15_253256_253273	17	Coding	YOL040C		
chr9_366855_366872	17	Coding	YIR006C		
chr16_274248_274267	19	Coding	YPL147W		
chr12_227885_227904	19	Coding	YLR039C		
chr7_246895_246913	18	Coding	YGL139W		
chr9_256393_256412	19	Coding	YIL052C		
chr15_113800_113873	73	Intergenic	YOL107W_671,YOL105C_263		
chr4_802723_802795	72	Intergenic	YDR170C_508,YDR171W_3818		
chr7_682153_682173	20	Intergenic	YGR097W_17,YGR098C_393		
chr11_329409_329429	20	Intergenic	YKL059C_325,YKL058W_377		
chr13_603665_603679	14	Intergenic	YMR170C_584,YMR171C_187		
chr7_708653_708673	20	Intergenic	YGR109C_2151,YGR110W_5036	YGRWTY3-1,YGR109W-B,	
chr4_60514_60535	21	Intergenic	YDL223C_108,YDL222C_337		
chr13_389275_389297	22	Coding	YMR058W		
chr16_560192_560284	92	Intergenic	YPR002W_262,YPR003C_1214		
chr7_401527_401599	72	Intergenic	YGL054C_239,YGL053W_990		
chr15_971262_971273	11	Intergenic	YOR342C_3644,YOR344C_5913	YORWTY2-2,YOR343W-B,YOR343W-A,	
chr10_115932_116004	72	Intergenic	YJL162C_309,YJL161W_1234		
chr9_268830_268859	29	Coding	YIL046W		
chr7_968895_968934	39	Intergenic	YGR238C_205,YGR239C_255		
chr2_266336_266409	73	Intergenic	YBR013C_498,YBR014C_274		
chr3_149913_149985	72	Intergenic	YCR018C_1016,YCR019W_2845		
chr10_581442_581458	16	Intergenic	YJR080C_132,YJR082C_149		
chr5_510303_510320	17	Intergenic	YER164W_510,YER165W_47		
chr5_117666_118035	369	Intergenic	YEL020W-A_192,YEL020C_581		
chr2_417841_417877	36	Intergenic	YBR085W_979,YBR085C-A_985		
chr7_813983_813997	14	Intergenic	YGR161C_4561,YGR162W_10063	YGRWTY2-2,YGR161W-B;Note=TyB Gag-Pol protein; proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition,YGR161W-B,	
chr4_682487_682507	20	Intergenic	YDR115W_2,YDR116C_209		
chr11_280606_280632	26	Intergenic	YKL084W_106,YKL082C_33	YKL083W,	
chr14_560688_560761	73	Intergenic	YNL036W_213,YNL035C_7756		
chr7_930952_931023	71	Intergenic	YGR217W_137,YGR218W_1517		
chr4_1256995_1257067	72	Intergenic	YDR390C_160,YDR391C_278		
chr4_1014055_1014070	15	Intergenic	YDR276C_421,YDR277C_321		
chr16_377196_377220	24	Intergenic	YPL091W_248,YPL090C_65		
chr13_128446_128496	50	Coding	YML072C		
chr15_484803_484819	16	Coding	YOR086C		
chr11_114775_114791	16	Intergenic	YKL178C_147,YKL176C_709		
